coin_symbol,coin_name,is_active,dim_last_updated
zeta,zeta,True,2026-03-11 20:28:21.307391
sol,sol,True,2026-03-11 20:28:21.307391
pol,pol,True,2026-03-11 20:28:21.307391
near,near,True,2026-03-11 20:28:21.307391
vet,vet,True,2026-03-11 20:28:21.307391
xrp,xrp,True,2026-03-11 20:28:21.307391
avax,avax,True,2026-03-11 20:28:21.307391
fil,fil,True,2026-03-11 20:28:21.307391
algo,algo,True,2026-03-11 20:28:21.307391
chz,chz,True,2026-03-11 20:28:21.307391
btc,btc,True,2026-03-11 20:28:21.307391
dot,dot,True,2026-03-11 20:28:21.307391
bsv,bsv,True,2026-03-11 20:28:21.307391
inj,inj,True,2026-03-11 20:28:21.307391
ltc,ltc,True,2026-03-11 20:28:21.307391
xlm,xlm,True,2026-03-11 20:28:21.307391
atom,atom,True,2026-03-11 20:28:21.307391
sc,sc,True,2026-03-11 20:28:21.307391
zk,zk,True,2026-03-11 20:28:21.307391
eth,eth,True,2026-03-11 20:28:21.307391
xtz,xtz,True,2026-03-11 20:28:21.307391
bnb,bnb,True,2026-03-11 20:28:21.307391
cspr,cspr,True,2026-03-11 20:28:21.307391
ada,ada,True,2026-03-11 20:28:21.307391
op,op,True,2026-03-11 20:28:21.307391
eth2,eth2,True,2026-03-11 20:28:21.307391
celo,celo,True,2026-03-11 20:28:21.307391
doge,doge,True,2026-03-11 20:28:21.307391
sui,sui,True,2026-03-11 20:28:21.307391
hbar,hbar,True,2026-03-11 20:28:21.307391
ton,ton,True,2026-03-11 20:28:21.307391
arb,arb,True,2026-03-11 20:28:21.307391
trx,trx,True,2026-03-11 20:28:21.307391
bch,bch,True,2026-03-11 20:28:21.307391
iota,iota,True,2026-03-11 20:28:21.307391
cc,cc,True,2026-03-11 20:28:21.307391
dash,dash,True,2026-03-11 20:28:21.307391
apt,apt,True,2026-03-11 20:28:21.307391
