coin_symbol,current_date,current_price,high_24h,low_24h,market_cap,total_volume,price_change_pct_24h,electrical_power_kw,electricity_consumption_kwh,co2_emissions_kg
ada,2026-03-09,0.255923,0.258153,0.247682,9423670726.0,480568632.0,-0.2,52.58,467704.12,149863.42
ada,2026-03-11,0.263703,0.266585,0.25729,9716552606.0,510591151.0,0.15,52.59,463823.07,148619.84
ada,2026-03-12,0.260464,0.266585,0.25753,9594110277.0,442710662.0,1.02,52.6,463043.37,148370.0
algo,2026-03-09,0.08313,0.084087,0.081545,738727690.0,42950718.0,-0.54,129.47,1143031.9,389439.93
algo,2026-03-11,0.086299,0.087407,0.08445,767424222.0,29628119.0,0.53,129.41,1140282.81,387337.04
algo,2026-03-12,0.085736,0.087407,0.084806,762268332.0,28071974.0,1.1,131.0,1142126.19,389823.31
apt,2026-03-09,0.945332,0.961719,0.918713,737767554.0,63968251.0,-0.3,40.03,346722.79,107782.46
apt,2026-03-11,0.939315,0.972335,0.937034,734079363.0,57885280.0,-2.14,40.5,349075.67,108516.01
apt,2026-03-12,0.92638,0.972335,0.922349,724020256.0,60020438.0,-1.64,40.42,349921.01,109962.15
arb,2026-03-09,0.097312,0.098601,0.09421,577647904.0,71236758.0,0.57,,4345362.4,1994516.52
arb,2026-03-11,0.100904,0.10272,0.097306,599723905.0,66311697.0,2.17,,4325446.37,1985374.98
arb,2026-03-12,0.098942,0.10272,0.098243,588047321.0,67966508.0,0.37,,4270289.79,1960057.98
atom,2026-03-09,1.74,1.76,1.71,863039690.0,32661293.0,-1.67,74.55,652983.07,299719.23
atom,2026-03-11,1.83,1.85,1.78,912021591.0,28995496.0,1.99,74.55,652983.07,299719.23
atom,2026-03-12,1.82,1.85,1.81,906831228.0,30103208.0,0.18,74.55,652983.07,299719.23
avax,2026-03-09,9.08,9.25,8.75,3920856831.0,300061072.0,0.91,199.93,1726212.28,554604.16
avax,2026-03-11,9.65,9.82,9.5,4169873622.0,270954765.0,0.15,199.98,1743047.08,556773.52
avax,2026-03-12,9.55,9.82,9.45,4122281285.0,257919722.0,-0.13,197.99,1752031.82,558228.82
bch,2026-03-09,449.4,454.38,442.23,8988774935.0,195860307.0,-1.1,0.11,0.98,0.39
bch,2026-03-11,456.97,458.03,444.38,9142401197.0,196164322.0,2.38,0.11,0.98,0.39
bch,2026-03-12,454.81,459.2,447.44,9100155924.0,195936032.0,1.22,0.11,0.98,0.39
bnb,2026-03-09,628.07,629.48,609.71,85611911780.0,866105593.0,0.75,18.79,147007.47,49052.66
bnb,2026-03-11,651.97,654.81,636.75,88906150990.0,947222540.0,1.3,17.19,150817.71,50389.76
bnb,2026-03-12,646.37,655.24,636.75,88134265809.0,967736525.0,0.7,16.43,152348.29,51153.34
bsv,2026-03-09,13.09,13.75,13.07,261867106.0,5378058.0,-4.74,0.01,0.04,0.02
bsv,2026-03-11,15.19,16.67,14.86,301130384.0,11131983.0,1.3,0.01,0.04,0.02
bsv,2026-03-12,14.64,15.64,14.59,292598326.0,15534986.0,-4.74,0.0,0.04,0.02
